sample_id,label,max_abs,final_abs,mean_abs,std_response,zero_crossings
underdamped-072,underdamped,1.0,1.4237623480196104e-11,0.05727692386100519,0.19174175757734008,6
underdamped-073,underdamped,1.0,4.488893649167552e-05,0.08397385840586344,0.20371970021843958,10
underdamped-074,underdamped,1.0,0.0172383213299552,0.16106910589100323,0.26439404660361443,10
underdamped-075,underdamped,1.0,7.865287997331329e-06,0.07622055800540103,0.1976095145871319,9
underdamped-076,underdamped,1.0,9.832805309477394e-06,0.07456344325617438,0.19636310326912618,9
underdamped-077,underdamped,1.0,3.3730044191512077e-10,0.05531279143742181,0.18764627680657037,8
underdamped-078,underdamped,1.0,2.6313251587653694e-08,0.056758771268686024,0.18679862360703894,8
underdamped-079,underdamped,1.0,5.681499047280551e-12,0.055901051509248616,0.18999755496124132,7
underdamped-080,underdamped,1.0,1.9479523879360907e-10,0.055308391165385606,0.18768077450032758,8
underdamped-081,underdamped,1.0,1.8105166182232116e-06,0.06341047770830412,0.18916867781256586,9
underdamped-082,underdamped,1.0,3.861818546678165e-11,0.056407222523227676,0.19072576927738746,6
underdamped-083,underdamped,1.0,0.0006971960114431,0.1010763089064211,0.21716608743902313,10
underdamped-084,underdamped,1.0,0.0450133842238617,0.20121648587711552,0.2958262803325538,10
underdamped-085,underdamped,1.0,0.0071495261800765,0.1369806874819344,0.24529507437687265,10
underdamped-086,underdamped,1.0,4.899083111709725e-10,0.05527532382853613,0.1886732453268266,7
underdamped-087,underdamped,1.0,2.9138747782790146e-07,0.06034216961467817,0.18761670394532495,9
underdamped-088,underdamped,1.0,0.0008414148097464,0.10301932049839835,0.2186738661265847,10
underdamped-089,underdamped,1.0,2.1595446853880496e-08,0.058652534987300324,0.18704365130601153,9
underdamped-090,underdamped,1.0,0.0011229902708602,0.10626763952439919,0.2211902957886573,10
underdamped-091,underdamped,1.0,6.151614941482607e-10,0.055280841550874316,0.18819274285459756,7
underdamped-092,underdamped,1.0,5.347428899150262e-07,0.061069544745137955,0.1879593761184715,9
underdamped-093,underdamped,1.0,3.364448620598901e-06,0.06543327839956221,0.19023875037928364,9
underdamped-094,underdamped,1.0,1.0155023668064404e-05,0.0735439030296959,0.19561528336411288,9
underdamped-095,underdamped,1.0,4.007352153421684e-09,0.05557901077498659,0.187246823570407,8
underdamped-096,underdamped,1.0,5.014482664791509e-06,0.06709301180688013,0.19123117663759312,9
underdamped-097,underdamped,1.0,0.0076491510779218,0.1385334432236078,0.2465304414091381,10
underdamped-098,underdamped,1.0,0.0031977745861766,0.12117278221580877,0.23279895577201365,10
underdamped-099,underdamped,1.0,8.3645452337931e-13,0.06101148360231862,0.19482060572987286,4
near_critical-000,near_critical,1.0,7.398470624190914e-12,0.06842299976410914,0.19939410151867434,0
near_critical-001,near_critical,1.0,2.6827220393288075e-12,0.06800942429104774,0.1991440498486754,0
near_critical-002,near_critical,1.0,1.195325936400631e-13,0.06715041456717541,0.1986263562206681,1
near_critical-003,near_critical,1.0,9.460572501290852e-12,0.06854298091484641,0.19946673381852364,0
near_critical-004,near_critical,1.0,4.06310744565666e-12,0.06816593316267512,0.1992386184641359,0
near_critical-005,near_critical,1.0,2.948181371824452e-12,0.0680434472203995,0.19916460164598643,0
near_critical-006,near_critical,1.0,3.6843025786324955e-13,0.0675137329463592,0.19884502568821638,0
near_critical-007,near_critical,1.0,1.0084153591721141e-13,0.067163030513698,0.19863394192071457,1
near_critical-008,near_critical,1.0,2.18606157140485e-13,0.0668148420003117,0.19842478652230916,1
near_critical-009,near_critical,1.0,7.2089534111333505e-12,0.06841116257481755,0.1993869378640554,0
near_critical-010,near_critical,1.0,3.9677111876932123e-13,0.06752643440529578,0.19885267814749816,0
near_critical-011,near_critical,1.0,1.9014489501085565e-13,0.06702466975190395,0.1985507784766443,1
near_critical-012,near_critical,1.0,7.070141307072674e-14,0.0672297872788987,0.198674090366508,1
near_critical-013,near_critical,1.0,1.2345604241091148e-12,0.06777085554750228,0.19900003878188785,0
near_critical-014,near_critical,1.0,2.2690981177055171e-13,0.0669739997191731,0.19852033924782947,1
near_critical-015,near_critical,1.0,5.877141616263115e-12,0.06832010482865773,0.19933184446672844,0
near_critical-016,near_critical,1.0,3.669609903243309e-12,0.068125874477135,0.1992144066281183,0
near_critical-017,near_critical,1.0,2.989499834838767e-12,0.0680485413704782,0.19916767910035302,0
near_critical-018,near_critical,1.0,2.987351538565759e-13,0.06747954090814906,0.19882442803733708,0
near_critical-019,near_critical,1.0,1.7510966045058959e-12,0.06786607364889988,0.1990574960132469,0
near_critical-020,near_critical,1.0,1.281977090357164e-12,0.06778051491572992,0.19900586623654207,0
near_critical-021,near_critical,1.0,2.010322471544177e-12,0.06791069904484744,0.19908443376771193,0
near_critical-022,near_critical,1.0,2.089624736606597e-13,0.06679118751233463,0.19841059286072366,1
near_critical-023,near_critical,1.0,2.419196965008784e-13,0.06744729489042413,0.19880500617225869,0
near_critical-024,near_critical,1.0,1.884495842564657e-13,0.0667063838359885,0.1983597235476085,1
near_critical-025,near_critical,1.0,5.936429719221519e-13,0.06760210024163123,0.19889827655530296,0
near_critical-026,near_critical,1.0,3.3713494016650946e-14,0.06727711903173397,0.1987025654773874,1
near_critical-027,near_critical,1.0,2.84724700491736e-13,0.06691014670508852,0.19848199337843883,1
near_critical-028,near_critical,1.0,2.3124510392522106e-13,0.06682872586966973,0.19843311834145824,1
near_critical-029,near_critical,1.0,1.3173643002799197e-12,0.06778753728927231,0.19901010298529637,0
near_critical-030,near_critical,1.0,2.154738739153672e-13,0.06696176352714393,0.19851298989478303,1
near_critical-031,near_critical,1.0,7.926075606673113e-12,0.06845574829249075,0.1994139223688763,0
near_critical-032,near_critical,1.0,1.2522916748791434e-12,0.06777450190905145,0.1990022385818914,0
near_critical-033,near_critical,1.0,3.496776574511504e-16,0.06731079651980458,0.1987228306691163,0
near_critical-034,near_critical,1.0,1.350709295720231e-12,0.06779401380086854,0.19901401053908102,0
near_critical-035,near_critical,1.0,1.6028071579654537e-13,0.06666913981891573,0.19833739087438546,1
near_critical-036,near_critical,1.0,9.071662179812377e-12,0.06852195863359113,0.19945400482397282,0
near_critical-037,near_critical,1.0,5.282333269483667e-13,0.0675789588980286,0.19888432896862193,0
near_critical-038,near_critical,1.0,4.144112375779855e-12,0.06817382223399789,0.1992433872416974,0
near_critical-039,near_critical,1.0,2.0995435553415734e-13,0.0667877931421088,0.1984085562619133,1
near_critical-040,near_critical,1.0,5.520570946834489e-13,0.0675875817096562,0.19888952584858918,0
near_critical-041,near_critical,1.0,5.747883808077353e-13,0.06759559817657264,0.19889435750396986,0
near_critical-042,near_critical,1.0,8.34750671237781e-12,0.06848090719357952,0.19942915165839156,0
near_critical-043,near_critical,1.0,1.164460659582959e-12,0.06775602213540952,0.19899109041295257,0
near_critical-044,near_critical,1.0,4.819744538309009e-13,0.06756150686062372,0.1988738115334593,0
